id,name,maintenance_responsibility,installed,material,length,number_of_steps,schools_count,school_score,total_population,transit_rider_count,transit_score,detour_score,overall_score,image,neighborhood,council_district,ward,tract,public_works_division,pli_division,police_zone,fire_zone,latitude,longitude
1957944930,Milnor St from Wellborn Way to Barr Ave,5th Division,1947-01-01,Concrete,104.0,35.0,0.0,100.0,1001.0,37.0,9.0,10.0,7.0,https://tools.wprdc.org/images/pittsburgh/steps/Milnor_St_from_Wellborn_Way_to_Barr_Ave.jpg,Westwood,2.0,28,42003563100,5,28,6,1-18,40.43710578,-80.05491778
576458172,Milo St at Cape May Ave to Suburban Ave,5th Division,2002-01-01,Concrete,183.0,96.0,0.0,100.0,1076.0,877.0,10.0,5.0,7.0,https://tools.wprdc.org/images/pittsburgh/steps/Milo_St_at_Cape_May_Ave_to_Suburban_Ave.jpg,Beechview,4.0,19,42003191600,5,19,6,4-28,40.40992134,-80.02016216
449705843,Milroy St at Perrysville Ave,1st Division,1936-01-01,Wood,37.0,25.0,0.0,100.0,759.0,136.0,7.0,3.0,3.0,https://tools.wprdc.org/images/pittsburgh/steps/Milroy_St_at_Perrysville_Ave.jpg,Perry North,1.0,26,42003260700,1,26,1,1-23,40.47617916,-80.01224685
1046882191,Milroy St from 323 to 301,1st Division,,Concrete,722.0,26.0,,,,,,,,https://tools.wprdc.org/images/pittsburgh/steps/Milroy_St_from_323_to_301.jpg,Perry South,1.0,26,42003261500,1,26,1,1-23,40.47639132,-80.00993006
11036634,Milroy St from Bothwell Ave to Viola St,1st Division,1982-01-01,Concrete,238.0,92.0,0.0,100.0,637.0,137.0,5.0,1.0,2.0,https://tools.wprdc.org/images/pittsburgh/steps/Milroy_St_from_Bothwell_Ave_to_Viola_St.jpg,Perry South,1.0,26,42003260700,1,26,1,1-23,40.47630967,-80.01110128
544733252,Mission St from Barry St to Oakley Way,4th Division,1950-01-01,Concrete,287.0,86.0,0.0,100.0,1012.0,45.0,5.0,1.0,6.0,https://tools.wprdc.org/images/pittsburgh/steps/Mission_St_from_Barry_St_to_Oakley_Way.jpg,South Side Slopes,3.0,16,42003160800,3,16,3,4-22,40.42240220000001,-79.96986715
1024327682,Missouri St to Evers Dr,2nd Division,,Concrete,115.0,21.0,1.0,2.0,597.0,149.0,5.0,1.0,3.0,https://tools.wprdc.org/images/pittsburgh/steps/Missouri_St_to_Evers_Dr.jpg,Lincoln-Lemington-Belmar,9.0,12,42003120300,2,12,5,3-15,40.47056228,-79.89928639
1622620403,Mohawk St from 5th Ave to Beelen St,3rd Division,1949-01-01,Concrete,85.0,77.0,0.0,100.0,312.0,224.0,7.0,7.0,7.0,https://tools.wprdc.org/images/pittsburgh/steps/Mohawk_St_from_5th_Ave_to_Beelen_St.jpg,West Oakland,6.0,4,42003040200,3,4,4,2-10,40.43744997,-79.97128055
2106848860,Mohler St at Willing St,2nd Division,,Concrete,20.0,6.0,,,,,,,,https://tools.wprdc.org/images/pittsburgh/steps/Mohler_St_at_Willing_St.jpg,Homewood North,9.0,13,42003130100,2,13,5,3-17,40.45836831,-79.88557289
1339409580,Monastery St from Brosville St to St Thomas St,4th Division,1970-01-01,Concrete,300.0,40.0,,,,,,,,https://tools.wprdc.org/images/pittsburgh/steps/Monastery_St_from_Brosville_St_to_St_Thomas_St.jpg,South Side Slopes,3.0,17,42003170600,3,17,3,4-3,40.423542600000005,-79.98610543
